,name,category,default,lower_bound,upper_bound,unit,enum_choices
83,client_min_messages,enum,notice,0.0,9.0,,"[debug5, debug4, debug3, debug2, debug1, log, notice, warning, error]"
84,constraint_exclusion,enum,partition,0.0,3.0,,"[partition, on, off]"
85,db_user_namespace,enum,off,0.0,1.0,,[off]
86,debug_pretty_print,enum,on,0.0,2.0,,"[off, on]"
87,debug_print_parse,enum,off,0.0,2.0,,"[off, on]"
88,debug_print_plan,enum,off,0.0,2.0,,"[off, on]"
89,debug_print_rewritten,enum,off,0.0,2.0,,"[off, on]"
90,default_toast_compression,enum,pglz,0.0,2.0,,"[pglz, lz4]"
91,default_transaction_deferrable,enum,off,0.0,2.0,,"[off, on]"
92,default_transaction_isolation,enum,read committed,0.0,4.0,,"['serializable', 'repeatable read', 'read committed','read uncommitted']"
93,default_transaction_read_only,enum,off,0.0,2.0,,"[off, on]"
94,enable_async_append,enum,on,0.0,2.0,,"[off, on]"
95,enable_bitmapscan,enum,on,0.0,2.0,,"[off, on]"
96,enable_gathermerge,enum,on,0.0,2.0,,"[off, on]"
97,enable_hashagg,enum,on,0.0,2.0,,"[off, on]"
98,enable_hashjoin,enum,on,0.0,2.0,,"[off, on]"
99,enable_incremental_sort,enum,on,0.0,2.0,,"[off, on]"
100,enable_indexonlyscan,enum,on,0.0,2.0,,"[off, on]"
101,enable_indexscan,enum,on,0.0,2.0,,"[off, on]"
102,enable_material,enum,on,0.0,2.0,,"[off, on]"
103,enable_memoize,enum,on,0.0,2.0,,"[off, on]"
104,enable_mergejoin,enum,on,0.0,2.0,,"[off, on]"
105,enable_nestloop,enum,on,0.0,2.0,,"[off, on]"
106,enable_parallel_append,enum,on,0.0,2.0,,"[off, on]"
107,enable_parallel_hash,enum,on,0.0,2.0,,"[off, on]"
108,enable_partition_pruning,enum,on,0.0,2.0,,"[off, on]"
109,enable_partitionwise_aggregate,enum,off,0.0,2.0,,"[off, on]"
110,enable_partitionwise_join,enum,off,0.0,2.0,,"[off, on]"
111,enable_seqscan,enum,on,0.0,2.0,,"[off, on]"
112,enable_sort,enum,on,0.0,2.0,,"[off, on]"
113,enable_tidscan,enum,on,0.0,2.0,,"[off, on]"
114,escape_string_warning,enum,on,0.0,2.0,,"[off, on]"
115,exit_on_error,enum,off,0.0,2.0,,"[off, on]"
116,force_parallel_mode,enum,off,0.0,3.0,,"[off, on, regress]"
117,fsync,enum,on,0.0,2.0,,"[off, on]"
118,full_page_writes,enum,on,0.0,2.0,,"[off, on]"
119,geqo,enum,on,0.0,2.0,,"[off, on]"
120,hot_standby_feedback,enum,off,0.0,2.0,,"[off, on]"
121,ignore_system_indexes,enum,off,0.0,2.0,,"[off, on]"
122,IntervalStyle,enum,postgres,0.0,4.0,,"[postgres, postgres_verbose, sql_standard, iso_8601]"
123,jit,enum,on,0.0,2.0,,"[off, on]"
124,jit_expressions,enum,on,0.0,2.0,,"[off, on]"
125,jit_tuple_deforming,enum,on,0.0,2.0,,"[off, on]"
126,krb_caseins_users,enum,off,0.0,2.0,,"[off, on]"
127,log_checkpoints,enum,on,0.0,2.0,,"[off, on]"
128,log_hostname,enum,off,0.0,2.0,,"[off, on]"
129,log_recovery_conflict_waits,enum,off,0.0,2.0,,"[off, on]"
130,log_truncate_on_rotation,enum,off,0.0,2.0,,"[off, on]"
131,parallel_leader_participation,enum,on,0.0,2.0,,"[off, on]"
132,password_encryption,enum,scram-sha-256,0.0,2.0,,"[md5, scram-sha-256]"
133,plan_cache_mode,enum,auto,0.0,3.0,,"[auto, force_generic_plan, force_custom_plan]"
134,quote_all_identifiers,enum,off,0.0,2.0,,"[off, on]"
135,recovery_init_sync_method,enum,fsync,0.0,2.0,,"[fsync, syncfs]"
136,recovery_prefetch,enum,try,0.0,3.0,,"[off, on, try]"
137,remove_temp_files_after_crash,enum,on,0.0,2.0,,"[off, on]"
138,restart_after_crash,enum,on,0.0,2.0,,"[off, on]"
139,row_security,enum,on,0.0,2.0,,"[off, on]"
140,ssl,enum,off,0.0,1.0,,[off]
141,ssl_max_protocol_version,enum,,0.0,5.0,,"['', 'TLSv1', 'TLSv1.1', 'TLSv1.2', 'TLSv1.3']"
142,ssl_min_protocol_version,enum,TLSv1.2,0.0,4.0,,"['TLSv1', 'TLSv1.1', 'TLSv1.2', 'TLSv1.3']"
143,ssl_passphrase_command_supports_reload,enum,off,0.0,2.0,,"[off, on]"
144,ssl_prefer_server_ciphers,enum,on,0.0,2.0,,"[off, on]"
145,standard_conforming_strings,enum,on,0.0,2.0,,"[off, on]"
146,stats_fetch_consistency,enum,cache,0.0,3.0,,"[none, cache, snapshot]"
147,synchronize_seqscans,enum,on,0.0,2.0,,"[off, on]"
148,synchronous_commit,enum,on,0.0,5.0,,"[local, remote_write, remote_apply, on, off]"
149,syslog_facility,enum,local0,0.0,8.0,,"[local0, local1, local2, local3, local4, local5, local6, local7]"
150,syslog_sequence_numbers,enum,on,0.0,2.0,,"[off, on]"
151,syslog_split_messages,enum,on,0.0,2.0,,"[off, on]"
152,trace_notify,enum,off,0.0,2.0,,"[off, on]"
153,trace_recovery_messages,enum,log,0.0,9.0,,"[debug5, debug4, debug3, debug2, debug1, log, notice, warning, error]"
154,trace_sort,enum,off,0.0,2.0,,"[off, on]"
155,transaction_deferrable,enum,off,0.0,2.0,,"[off, on]"
156,transaction_isolation,enum,read committed,0.0,4.0,,"['serializable', 'repeatable read', 'read committed', 'read uncommitted']"
157,transaction_read_only,enum,off,0.0,2.0,,"[off, on]"
158,transform_null_equals,enum,off,0.0,2.0,,"[off, on]"
159,wal_receiver_create_temp_slot,enum,off,0.0,2.0,,"[off, on]"
160,wal_sync_method,enum,fdatasync,0.0,4.0,,"[fsync, fdatasync, open_sync, open_datasync]"
161,xmlbinary,enum,base64,0.0,2.0,,"[base64, hex]"
162,xmloption,enum,content,0.0,2.0,,"[content, document]"
163,autovacuum_freeze_max_age,int,200000000,100000.0,2000000000.0,,
164,autovacuum_max_workers,int,3,1.0,10000.0,,
165,autovacuum_multixact_freeze_max_age,int,400000000,10000.0,2000000000.0,,
166,autovacuum_vacuum_cost_delay,int,2,-1.0,100.0,,
167,autovacuum_vacuum_cost_limit,int,-1,-1.0,10000.0,,
168,autovacuum_vacuum_insert_threshold,int,1000,-1.0,100000.0,,
169,autovacuum_work_mem,int,-1,-1.0,1048576.0,,
170,backend_flush_after,int,0,0.0,256.0,,
171,commit_delay,int,0,0.0,4096.0,,
172,data_sync_retry,enum,off,0.0,2.0,,"['on', 'off']"
173,deadlock_timeout,int,1000,1.0,5000.0,,
174,geqo_generations,int,0,0.0,1000.0,,
175,geqo_pool_size,int,0,0.0,1000.0,,
176,jit_above_cost,int,100000,-1.0,1000000.0,,
177,jit_inline_above_cost,int,500000,-1.0,5000000.0,,
178,jit_optimize_above_cost,int,500000,-1.0,5000000.0,,
179,max_connections,int,100,5.0,10000.0,,
180,max_files_per_process,int,1000,64.0,50000.0,,
181,max_locks_per_transaction,int,64,10.0,1024.0,,
182,max_pred_locks_per_relation,int,-2,-100.0,1024.0,,
183,max_pred_locks_per_transaction,int,64,10.0,150.0,,
184,max_prepared_transactions,int,0,0.0,1024.0,,
185,max_stack_depth,int,100,100.0,7680.0,,
186,max_worker_processes,int,8,0.0,256.0,,
187,old_snapshot_threshold,int,-1,-1.0,86400.0,,
188,shared_buffers,int,1024,16.0,1048576.0,,
189,temp_file_limit,int,-1,-1.0,100000.0,,
190,wal_buffers,int,-1,-1.0,20000.0,,
191,wal_compression,enum,off,0.0,2.0,,"['on', 'off']"
192,wal_init_zero,enum,on,0.0,2.0,,"['on', 'off']"
193,wal_log_hints,enum,off,0.0,2.0,,"['on', 'off']"
194,wal_recycle,enum,on,0.0,2.0,,"['on', 'off']"
